Key,Mac keycode,JS keycode
a,0,65
b,B,66
c,8,67
d,2,68
e,E,69
f,3,70
g,5,71
h,4,72
i,22,73
j,26,74
k,28,75
l,25,76
m,2e,77
n,2d,78
o,1f,79
p,23,80
q,0c,81
r,0f,82
s,1,83
t,11,84
u,20,85
v,9,86
w,0d,87
x,7,88
y,10,89
z,6,90
Return,24,13
Tab,30,9
Space,31,32
Backspace,33,8
Escape,35,27
Command,37,91
Shift,38,16
Option,3a,18
Control,3b,17
Delete,33,46
LeftArrow,7b,37
RightArrow,7c,39
DownArrow,7d,40
UpArrow,7e,38
Equal,18,187
Minus,1b,189
RightBracket,1e,221
LeftBracket,21,219
Quote,27,222
Semicolon,29,186
Backslash,2a,220
Comma,2b,188
Slash,2c,191
Period,2f,190
Grave,32,192
